Model name;undefined x;undefined y;undefined z;EX_R x;EX_R y;EX_R z;EX_L x;EX_L y;EX_L z;EN_R x;EN_R y;EN_R z;EN_L x;EN_L y;EN_L z;PAS_R x;PAS_R y;PAS_R z;PAS_L x;PAS_L y;PAS_L z;PAI_R x;PAI_R y;PAI_R z;PAI_L x;PAI_L y;PAI_L z;G x;G y;G z;SN x;SN y;SN z;AL_R x;AL_R y;AL_R z;AL_L x;AL_L y;AL_L z;N x;N y;N z;PRN x;PRN y;PRN z;LS x;LS y;LS z;STO x;STO y;STO z;LI x;LI y;LI z;CH_R x;CH_R y;CH_R z;CH_L x;CH_L y;CH_L z;CP_R x;CP_R y;CP_R z;CP_L x;CP_L y;CP_L z;SL x;SL y;SL z;GN x;GN y;GN z;GOL_R x;GOL_R y;GOL_R z;GOL_L x;GOL_L y;GOL_L z;ZY_R x;ZY_R y;ZY_R z;ZY_L x;ZY_L y;ZY_L z;PG x;PG y;PG z;T_R x;T_R y;T_R z;T_L x;T_L y;T_L z;SA_R x;SA_R y;SA_R z;SA_L x;SA_L y;SA_L z;SBA_R x;SBA_R y;SBA_R z;SBA_L x;SBA_L y;SBA_L z;PA_R x;PA_R y;PA_R z;PA_L x;PA_L y;PA_L z;OBS_R x;OBS_R y;OBS_R z;OBS_L x;OBS_L y;OBS_L z;OBI_R x;OBI_R y;OBI_R z;OBI_L x;OBI_L y;OBI_L z;PRA_R x;PRA_R y;PRA_R z;PRA_L x;PRA_L y;PRA_L z;PUP_R x;PUP_R y;PUP_R z;PUP_L x;PUP_L y;PUP_L z;GNA x;GNA y;GNA z;GO2_R x;GO2_R y;GO2_R z;GO2_L x;GO2_L y;GO2_L z;V x;V y;V z;O x;O y;O z;RN_R x;RN_R y;RN_R z;RN_L x;RN_L y;RN_L z;EU2_R x;EU2_R y;EU2_R z;EU2_L x;EU2_L y;EU2_L z;RM_R x;RM_R y;RM_R z;RM_L x;RM_L y;RM_L z;P_L x;P_L y;P_L z
00010_02_ECA.obj;;;;-43.824432;38.595768;-38.23571;42.600025;38.707317;-37.241806;-16.897703;35.995922;-33.98688;16.02784;36.090736;-33.977455;-31.766489;42.46272;-29.947565;31.459812;42.62742;-29.566387;-32.16654;33.37191;-33.33477;31.90011;33.59566;-32.884167;-0.028678097;54.53647;-12.949085;-0.015679684;-11.470136;-19.58847;-17.491436;-1.9682393;-21.470901;16.435753;-2.3147771;-21.027702;0.033256352;40.906094;-17.018404;-0.01603039;0.012405605;-0.12969247;-0.014588638;-25.102757;-22.811638;-0.009123293;-30.020266;-27.95218;-0.0060432362;-37.966194;-28.063683;-24.752535;-28.903519;-40.48981;24.238344;-28.55962;-40.10361;-6.5228863;-23.541382;-23.110186;6.013223;-23.521896;-23.097813;-0.013272894;-46.450527;-35.635883;-0.012596655;-71.59128;-48.248085;-56.410538;-26.89176;-114.480095;57.12812;-26.920095;-113.23782;-57.300728;39.84846;-49.58972;56.766415;39.53676;-49.208057;-0.00377128;-58.09061;-35.371212;-71.599724;32.93397;-115.77209;71.6387;32.761;-115.24979;-85.37185;60.736675;-127.26925;86.43398;59.810978;-125.64375;-71.82195;1.9055318;-121.73588;72.60685;1.4906125;-119.94768;-86.105774;41.568546;-144.0492;87.66632;41.06361;-141.59837;-76.92618;51.383614;-114.21147;77.18036;51.38004;-112.613594;-66.177216;2.7243395;-117.029854;67.02115;2.3055646;-115.82526;-74.027374;42.795376;-114.898346;74.00339;42.22131;-113.39003;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
00010_02_ECA.obj;;;;-43.824432;38.595768;-38.23571;42.600025;38.707317;-37.241806;-16.897703;35.995922;-33.98688;16.02784;36.090736;-33.977455;-31.766489;42.46272;-29.947565;31.459812;42.62742;-29.566387;-32.16654;33.37191;-33.33477;31.90011;33.59566;-32.884167;-0.028678097;54.53647;-12.949085;-0.015679684;-11.470136;-19.58847;-17.491436;-1.9682393;-21.470901;16.435753;-2.3147771;-21.027702;0.033256352;40.906094;-17.018404;-0.01603039;0.012405605;-0.12969247;-0.014588638;-25.102757;-22.811638;-0.009123293;-30.020266;-27.95218;-0.0060432362;-37.966194;-28.063683;-24.752535;-28.903519;-40.48981;24.238344;-28.55962;-40.10361;-6.5228863;-23.541382;-23.110186;6.013223;-23.521896;-23.097813;-0.013272894;-46.450527;-35.635883;-0.012596655;-71.59128;-48.248085;-56.410538;-26.89176;-114.480095;57.12812;-26.920095;-113.23782;-57.300728;39.84846;-49.58972;56.766415;39.53676;-49.208057;-0.00377128;-58.09061;-35.371212;-71.599724;32.93397;-115.77209;71.6387;32.761;-115.24979;-85.37185;60.736675;-127.26925;86.43398;59.810978;-125.64375;-71.82195;1.9055318;-121.73588;72.60685;1.4906125;-119.94768;-86.105774;41.568546;-144.0492;87.66632;41.06361;-141.59837;-76.92618;51.383614;-114.21147;77.18036;51.38004;-112.613594;-66.177216;2.7243395;-117.029854;67.02115;2.3055646;-115.82526;-74.027374;42.795376;-114.898346;74.00339;42.22131;-113.39003;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
00018_02_ECA.obj;;;;-39.6326;38.3749;-39.7205;39.1685;37.6015;-39.8001;-13.8534;35.7705;-37.5891;13.5284;35.4271;-37.9206;-27.3066;42.6979;-31.0399;27.3942;41.6071;-31.4961;-27.3099;32.7351;-36.9416;27.2898;31.3029;-36.8333;-0.0241087;51.4309;-17.9121;-0.1906;-11.0617;-18.9868;-16.026;-3.56222;-19.3773;16.3132;-2.93282;-21.5354;0.10259;40.3153;-20.6612;0.0;0.0;0.0;-0.0615546;-24.793;-20.6262;-0.072388;-30.2361;-25.7932;-0.0653844;-39.5992;-23.7386;-24.4671;-30.4517;-36.2993;22.8214;-29.7984;-39.0794;-6.32697;-21.2219;-20.6852;6.55999;-21.9621;-21.2354;-0.0914421;-47.1508;-31.9045;0.0352803;-72.9366;-48.0077;-53.5178;-23.7672;-110.454;50.9157;-28.0785;-109.391;-56.9906;35.1562;-54.2658;54.7306;34.4751;-50.0421;0.0507161;-54.0744;-33.1386;-69.7824;27.132;-118.895;66.1924;25.5533;-119.966;-86.5383;55.4093;-135.122;75.6953;54.7956;-136.03;-70.2022;0.869449;-123.255;63.3757;-2.51962;-120.811;-90.7474;41.2313;-146.784;79.2257;30.9989;-150.431;-76.931;44.8073;-118.951;71.8051;44.4276;-118.279;-63.8677;2.32441;-116.822;60.3317;-0.80638;-116.061;-75.3668;41.0792;-118.739;65.5616;30.231;-118.188;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
00025_01_ECA.obj;;;;-38.1751;37.6778;-40.6139;40.23;37.5846;-39.8988;-12.4495;35.0395;-34.0513;14.0486;35.7859;-35.2425;-26.0275;42.9462;-31.5037;27.4785;43.2793;-31.5985;-26.1126;32.7606;-34.1197;28.3339;33.793;-34.8944;-0.0515727;50.7266;-17.2942;0.0790903;-13.0231;-17.0865;-15.4295;-2.77317;-18.1407;16.0362;-2.43784;-17.622;0.0229497;40.5271;-18.5279;-0.0643641;0.107766;-0.060357;-0.0135562;-21.7067;-18.0293;0.0167707;-27.2186;-22.9444;0.0815563;-34.9561;-22.1504;-25.8031;-27.1724;-38.7787;26.2838;-27.2613;-38.0126;-8.01713;-19.714;-18.6055;7.95333;-19.7128;-18.5952;-0.0377827;-42.1733;-27.3758;0.0288658;-67.3707;-35.9344;-57.0053;-20.7656;-109.869;53.1859;-21.0302;-114.95;-48.8834;38.4411;-49.0738;53.3929;37.3289;-51.8022;0.0114453;-54.887;-26.9297;-60.94;28.0876;-118.403;66.1959;26.1045;-113.991;-83.141;55.6395;-129.161;82.4906;53.8176;-124.485;-73.7014;-0.156638;-115.067;68.791;-4.18927;-113.728;-83.3486;28.7857;-139.726;85.1427;30.8997;-137.768;-72.2467;43.3134;-108.218;65.0908;44.205;-113.507;-63.3489;2.35476;-109.795;62.2124;-2.6798;-111.348;-63.2873;29.2619;-111.123;65.5514;31.402;-114.16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
00029_02_ECA.obj;;;;-43.3638;32.1843;-34.0871;49.7192;37.4275;-32.1381;-15.3232;32.0491;-28.977;20.1754;34.1477;-28.0717;-30.6465;37.8714;-23.7251;38.1353;41.7047;-22.4577;-30.972;26.6101;-28.5664;38.2038;29.3312;-27.0493;-0.196011;52.1919;-5.77459;0.0402429;-10.3157;-16.6364;-16.3077;-5.90232;-16.9022;16.5832;-6.19749;-14.9733;-0.0327318;34.8249;-12.7069;0.0;0.0;0.0;0.0212595;-24.7054;-19.1548;0.0740778;-29.9875;-25.9808;-0.0439989;-35.2466;-24.9814;-21.0045;-29.9909;-33.9378;22.5153;-29.6882;-31.4793;-4.37227;-23.4658;-19.5637;6.43415;-22.9822;-19.0785;-0.222175;-46.6501;-31.511;0.0166432;-68.2278;-35.9387;-59.9037;-25.0865;-111.957;59.7769;-26.4749;-98.5429;-64.3839;32.7704;-52.2492;66.7062;35.0258;-49.9083;-0.0879792;-60.7742;-31.7177;-73.2631;29.7519;-114.11;70.9593;31.9526;-108.071;-87.9756;57.6765;-125.017;83.8306;58.4655;-121.566;-70.3395;-2.39022;-109.562;69.2089;-2.58914;-105.855;-88.0796;33.7211;-141.068;84.1284;32.6933;-135.431;-82.6784;50.5541;-112.503;77.6676;49.2562;-106.083;-70.5233;-2.20155;-109.647;68.9708;-2.74161;-106.023;-73.8103;33.5856;-114.347;71.4191;33.2766;-107.543;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
00034_02_ECA.obj;;;;-48.3462;32.8119;-37.4419;48.4671;33.9763;-34.7846;-19.7823;31.5223;-34.2606;18.2695;32.451;-33.2005;-34.7021;36.076;-27.214;35.01;37.0376;-25.3656;-34.9525;27.0054;-32.6348;34.9953;28.9642;-30.5098;-0.0180709;46.822;-12.1209;-0.0965773;-13.7033;-16.9048;-18.5938;-4.34773;-19.1624;16.7558;-3.8856;-17.6999;-0.0701244;38.2247;-15.634;0.0;0.0;0.0;-0.0871764;-27.5284;-21.3471;-0.0286173;-30.841;-24.5386;-0.05925;-36.4334;-22.2302;-27.4141;-30.3036;-37.1596;24.7547;-29.893;-32.6613;-7.76514;-26.3972;-22.2125;6.4574;-26.0787;-20.9669;0.0724193;-49.064;-28.2504;0.0247797;-74.6523;-38.084;-61.49;-38.0979;-111.732;69.4738;-32.729;-100.636;-70.1964;32.1092;-60.7416;69.7732;32.9668;-55.6906;0.14267;-60.7638;-26.166;-74.0009;30.0707;-120.364;78.199;28.0215;-115.951;-92.599;65.8129;-128.992;99.1766;58.1732;-124.404;-81.0367;1.1013;-131.763;84.5882;-4.92544;-124.149;-95.6678;46.4852;-146.811;101.666;37.2215;-139.953;-81.2977;51.7963;-114.277;86.1031;50.2129;-111.495;-72.1916;0.121211;-123.416;78.1042;-3.98532;-119.381;-78.8002;46.3175;-116.659;80.4658;36.6011;-113.806;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
00042_02_ECA.obj;;;;-45.8978;36.4485;-35.8368;44.71;35.2445;-35.5354;-17.3042;33.7726;-31.775;16.2277;33.9849;-30.8124;-32.6144;38.9788;-25.6531;32.378;38.9675;-25.0357;-33.3785;30.7381;-32.2011;32.7568;30.0251;-31.0246;0.100678;55.8021;-13.984;-0.0420328;-11.3275;-16.2493;-14.8491;-5.29341;-17.1635;14.5504;-5.68625;-17.6798;-0.129659;38.9832;-18.1829;0.0;0.0;0.0;0.0962113;-24.1983;-17.8404;-0.122617;-31.0245;-23.7047;-0.0310856;-40.3829;-24.9995;-27.1971;-31.1286;-38.654;24.3672;-29.4738;-35.862;-7.35998;-21.7233;-18.7351;5.67173;-22.5116;-18.4145;0.159825;-47.6686;-32.8305;-0.00520647;-70.138;-42.6341;-52.4869;-25.6165;-118.39;54.0353;-25.6691;-116.628;-62.5411;35.3398;-55.1798;62.8962;34.8774;-56.9452;0.0832435;-57.135;-33.0756;-70.905;25.3963;-112.444;69.5376;26.7076;-111.892;-84.6016;52.2232;-128.087;82.1;55.3917;-124.294;-71.6975;-5.58552;-118.618;71.0984;-4.23689;-112.691;-83.9922;34.8372;-140.487;85.3312;30.8499;-135.856;-77.0902;46.5986;-117.139;77.5826;49.8852;-116.021;-64.6392;-2.99354;-112.245;66.9738;-1.04344;-109.518;-72.3369;35.0637;-115.455;69.8615;31.0146;-111.278;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
00056_01_ECA.obj;;;;-43.4623;36.8532;-39.1783;41.3461;36.4359;-39.6197;-14.7439;34.4802;-34.4602;11.755;33.9668;-34.9926;-31.7679;41.8178;-28.9911;28.4903;41.8949;-29.8195;-31.3269;30.2105;-34.2951;26.9412;31.241;-34.2385;-0.460577;55.4566;-13.8449;-0.454442;-11.7627;-19.1028;-16.0055;-2.24041;-22.816;15.0164;-3.30033;-23.0804;-0.0717677;39.2707;-17.1008;0.682051;0.569193;-0.546664;-0.277256;-28.4766;-23.854;-0.428139;-36.2201;-27.3094;-0.559612;-43.8854;-27.8926;-25.1644;-32.2424;-39.2858;21.7207;-31.8269;-37.8975;-8.53833;-27.3822;-25.3551;5.4297;-26.8461;-24.5444;-0.859269;-50.3202;-35.9586;0.592461;-78.0697;-53.0586;-53.8341;-27.5576;-108.984;46.8938;-29.2864;-113.553;-62.2199;35.9166;-53.7248;59.2475;35.3814;-52.6708;-0.509703;-64.2075;-39.7235;-65.1532;24.7973;-112.799;62.7575;25.1725;-110.135;-78.1697;50.1174;-123.935;73.9829;49.5517;-124.704;-66.8129;-11.1758;-113.721;63.9867;-10.9332;-114.05;-78.2389;24.8062;-137.354;78.7407;34.4146;-135.911;-70.2703;40.2101;-111.211;68.4714;42.0198;-111.749;-60.7837;-12.6539;-110.29;56.2884;-14.1437;-111.291;-65.6162;25.8741;-109.566;65.3356;32.8941;-110.288;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
00307_01_ECA.obj;;;;-42.4852;38.969;-39.4984;40.8877;38.9009;-36.5282;-16.0931;36.8431;-34.9338;14.604;36.566;-33.9449;-31.2913;42.6564;-32.0983;28.3129;42.7315;-30.5738;-30.5752;33.7447;-34.796;29.9129;33.8551;-32.783;0.0903622;49.3028;-14.3339;-0.0671825;-9.76325;-16.2578;-13.2805;-4.90701;-20.647;11.5249;-4.03164;-19.6167;0.153354;39.7293;-19.4298;0.0;0.0;0.0;-0.11793;-24.2078;-23.8817;0.100142;-28.4922;-28.831;-0.10854;-36.2759;-29.7514;-26.3882;-28.5874;-43.2018;22.5172;-28.8023;-40.9869;-7.0244;-21.5491;-23.2404;4.50631;-22.1106;-22.7917;0.0757911;-43.8095;-35.5069;-0.0144836;-68.885;-50.8855;-62.3221;-25.5273;-117.712;55.8084;-27.3205;-114.162;-61.2629;37.2632;-56.187;58.5614;37.4524;-50.6113;0.0154207;-56.7322;-36.7779;-72.1108;30.6555;-116.121;67.5797;27.9637;-117.25;-92.5781;52.8051;-128.751;88.2397;49.6945;-126.968;-69.3135;1.35962;-114.184;62.2056;-2.61845;-116.657;-88.1616;32.3714;-140.481;84.7075;30.9272;-140.18;-78.6876;46.5243;-112.491;77.9088;45.4296;-113.717;-68.1994;0.930439;-113.788;62.0457;-2.82866;-116.721;-71.8895;32.3351;-112.34;68.9971;30.7923;-114.889;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
00370_01_ECA.obj;;;;-41.818;30.2038;-40.8472;38.5322;29.1265;-42.0493;-15.1606;28.5956;-38.3184;13.1259;27.3315;-38.2012;-30.7698;34.2725;-34.4277;28.4983;33.582;-34.9554;-31.1645;25.3431;-36.4711;28.4445;24.8843;-37.3324;0.0110229;44.6084;-18.7618;-0.0142806;-13.5767;-18.8229;-17.1153;-2.31868;-20.3272;16.9128;-2.06563;-22.0181;0.0541335;34.3868;-19.4251;-0.0345545;-0.0319748;-0.0370497;0.00417204;-27.9629;-23.8418;-0.0869525;-31.6608;-27.9753;-0.0648499;-36.9042;-28.9863;-26.5987;-28.5254;-41.738;21.671;-29.1045;-43.9545;-7.38818;-25.9782;-23.4764;6.46153;-26.2079;-24.2097;0.024987;-43.6223;-36.6716;-0.0276266;-66.8832;-43.4533;-47.0045;-34.1827;-111.707;44.0107;-32.2393;-113.372;-50.9003;30.3446;-48.4276;48.4897;29.7813;-51.0209;0.0799772;-53.9904;-33.0275;-66.6759;23.6579;-113.255;63.7478;23.4957;-111.95;-81.683;49.0721;-120.98;82.0925;47.3589;-121.051;-62.0807;-4.62187;-122.764;58.8986;-4.8529;-123.148;-82.7307;30.9086;-141.731;81.7961;33.444;-135.495;-72.8528;40.333;-111.524;69.8151;40.4029;-109.258;-57.4665;-4.27382;-119.054;55.0381;-4.99224;-117.472;-69.3797;33.5003;-112.393;67.9922;35.1509;-108.526;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
